game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201311010SAC,2014,SAC,LAC,36,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes
201311010SAC,2014,LAC,SAC,37,Blake Griffin,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw
201311010SAC,2014,SAC,LAC,40,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes
201311010SAC,2014,LAC,SAC,42,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw
201311010SAC,2014,SAC,LAC,43,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201311010SAC,2014,SAC,LAC,46,DeMarcus Cousins,Isaiah Thomas,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201311040LAC,2014,LAC,HOU,0,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik
201311040LAC,2014,LAC,HOU,7,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi
201311040LAC,2014,HOU,LAC,10,Chandler Parsons,Francisco Garcia,Jeremy Lin,Omer Asik,Omri Casspi,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford
201311040LAC,2014,LAC,HOU,11,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi
201311040LAC,2014,HOU,LAC,12,Aaron Brooks,Chandler Parsons,Francisco Garcia,Greg Smith,Omri Casspi,Byron Mullens,Darren Collison,J.J. Redick,Jamal Crawford,Matt Barnes
201311040LAC,2014,HOU,LAC,13,Aaron Brooks,Francisco Garcia,Greg Smith,James Harden,Omri Casspi,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes
201311040LAC,2014,HOU,LAC,14,Aaron Brooks,Francisco Garcia,Greg Smith,James Harden,Omri Casspi,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Matt Barnes
201311040LAC,2014,HOU,LAC,16,Francisco Garcia,Greg Smith,James Harden,Jeremy Lin,Omri Casspi,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Matt Barnes
201311040LAC,2014,HOU,LAC,17,Francisco Garcia,Greg Smith,James Harden,Jeremy Lin,Omri Casspi,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley
201311040LAC,2014,LAC,HOU,18,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Chandler Parsons,Francisco Garcia,James Harden,Jeremy Lin,Omer Asik
201311040LAC,2014,HOU,LAC,19,Chandler Parsons,Francisco Garcia,James Harden,Jeremy Lin,Omer Asik,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford
201311040LAC,2014,LAC,HOU,21,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi
201311040LAC,2014,HOU,LAC,23,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Matt Barnes
201311040LAC,2014,HOU,LAC,24,Aaron Brooks,Chandler Parsons,James Harden,Omer Asik,Omri Casspi,Chris Paul,Jamal Crawford,Jared Dudley,Matt Barnes,Ryan Hollins
201311040LAC,2014,LAC,HOU,25,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik
201311040LAC,2014,LAC,HOU,30,Blake Griffin,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik
201311040LAC,2014,HOU,LAC,32,Aaron Brooks,Chandler Parsons,Dwight Howard,James Harden,Omri Casspi,Blake Griffin,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley
201311040LAC,2014,HOU,LAC,33,Aaron Brooks,Chandler Parsons,Dwight Howard,James Harden,Omri Casspi,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley,Matt Barnes
201311040LAC,2014,HOU,LAC,34,Aaron Brooks,Dwight Howard,Francisco Garcia,James Harden,Omri Casspi,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes
201311040LAC,2014,HOU,LAC,37,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes
201311040LAC,2014,LAC,HOU,38,Byron Mullens,Chris Paul,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi
201311040LAC,2014,HOU,LAC,39,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford
201311040LAC,2014,LAC,HOU,41,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Chandler Parsons,Dwight Howard,Francisco Garcia,Jeremy Lin,Omri Casspi
201311040LAC,2014,HOU,LAC,44,Chandler Parsons,Donatas Motiejunas,Greg Smith,Jeremy Lin,Ronnie Brewer,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley
201311040LAC,2014,LAC,HOU,45,Byron Mullens,Darren Collison,Jamal Crawford,Reggie Bullock,Ryan Hollins,Donatas Motiejunas,Greg Smith,Jeremy Lin,Ronnie Brewer,Terrence Jones
201311040LAC,2014,HOU,LAC,47,Aaron Brooks,Donatas Motiejunas,Greg Smith,Ronnie Brewer,Terrence Jones,Byron Mullens,Darren Collison,Jamal Crawford,Reggie Bullock,Ryan Hollins
201311060ORL,2014,ORL,LAC,0,Arron Afflalo,Jameer Nelson,Jason Maxiell,Maurice Harkless,Nikola Vucevic,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
